place,visited,lat,lon
Philadelphia,1,39.9526,-75.1652
Monterey,1,36.6002,-121.8947
Los Angeles,1,34.0522,-118.2437
Saint Louis,1,38.627,-90.1994
New York City,1,40.7128,-74.0059
Portland,1,45.5231,-122.6765
Seattle,1,47.6062,-122.3321
Indianapolis,1,39.7684,-86.1581
Milwaukee,1,43.0389,-87.9065
Pittsburgh,1,40.4406,-79.9959
Nashville,1,36.1627,-86.7816
New Orleans,1,29.9511,-90.0715
Atlantic City,1,39.3643,-74.4229
Cleveland,1,41.4993,-81.6944
Washington D.C.,1,38.9072,-77.0369
Orlando,1,28.5383,-81.3792
Houston,1,29.7604,-95.3698
Upper Peninsula,1,46.5375,-87.3952
Mackinac Island,1,45.8492,-84.6189
Cincinnati,1,39.1031,-84.512
Louisville,1,38.2527,-85.7585
Mammoth Cave,1,37.187,-86.1005
The Skyline Drive,1,38.5306,-78.4404
Starve Rock,1,41.3184,-88.9947
Urbana-Champaigne,1,40.1106,-88.2073
