"school","zipcode","lat","lon","grad_rate","att_rate","avg_lat","avg_lon","total","avg_grad_rate","avg_att_rate"
"William Jones College Preparatory High School","60605",-87.62771142,41.87304937,88.5,93.4,-87.62771142,41.87304937,1,88.5,93.4
"Whitney M Young Magnet High School","60607",-87.66419634,41.87859028,86.6,93.7,-87.66419634,41.87859028,1,86.6,93.7
"Noble Street Charter - UIC College Prep","60608",-87.67607361,41.86580003,55.4,95.7,-87.66950957,41.8609496333333,3,49.6,78
"Simpson Academy High School for Young Women","60608",-87.66868579,41.86437581,52.4,49.1,-87.66950957,41.8609496333333,3,49.6,78
"Benito Juarez Community Academy High School","60608",-87.66376931,41.85267306,41,89.2,-87.66950957,41.8609496333333,3,49.6,78
"Edward Tilden Career Community Academy HS","60609",-87.64292985,41.80751207,33.6,75.5,-87.6436851666667,41.80215487,3,43.8666666666667,81.8
"Ellen H Richards Career Academy High School","60609",-87.66224052,41.80285552,41.4,79.1,-87.6436851666667,41.80215487,3,43.8666666666667,81.8
"Architecture, Construction, and Engineering(ACE) Technical Charter","60609",-87.62588513,41.79609702,56.6,90.8,-87.6436851666667,41.80215487,3,43.8666666666667,81.8
"Walter Payton College Preparatory High School","60610",-87.63453744,41.90155157,87.4,92.2,-87.63453744,41.90155157,1,87.4,92.2
"Marine Military Math and Science Academy","60612",-87.68865058,41.87885054,55.8,92.1,-87.690109225,41.8765216375,4,46.7,85.625
"Manley Career Academy High School","60612",-87.69988652,41.87091163,41.8,79.5,-87.690109225,41.8765216375,4,46.7,85.625
"Phoenix Military Academy High School","60612",-87.68865058,41.87885054,50,95.7,-87.690109225,41.8765216375,4,46.7,85.625
"Richard T Crane Technical Preparatory HS","60612",-87.68324922,41.87747384,39.2,75.2,-87.690109225,41.8765216375,4,46.7,85.625
"Lake View High School","60613",-87.66891643,41.95478361,66.3,88.3,-87.66891643,41.95478361,1,66.3,88.3
"Lincoln Park High School","60614",-87.64597389,41.91830362,71.2,87.3,-87.64597389,41.91830362,1,71.2,87.3
"Bronzeville Scholastic Academy High School","60615",-87.62448408,41.80456384,67.5,88.1,-87.61515291,41.803899226,5,61.12,87.46
"Dyett High School","60615",-87.61192836,41.80204982,39.3,71.2,-87.61515291,41.803899226,5,61.12,87.46
"Kenwood Academy High School","60615",-87.59038395,41.80375479,75.3,89,-87.61515291,41.803899226,5,61.12,87.46
"Daniel Hale Williams Prep School of Medicine","60615",-87.62448408,41.80456384,69,89.7,-87.61515291,41.803899226,5,61.12,87.46
"Betty Shabazz Intl Charter - DuSable Leadership","60615",-87.62448408,41.80456384,54.5,99.3,-87.61515291,41.803899226,5,61.12,87.46
"Perspectives Charter - Rodney D Joslin","60616",-87.62852775,41.85603329,67.6,98.4,-87.62162951,41.8469285866667,3,66.7666666666667,91.2333333333333
"Paul Laurence Dunbar Career Academy High School","60616",-87.61767315,41.84018775,65.3,82.1,-87.62162951,41.8469285866667,3,66.7666666666667,91.2333333333333
"Young Women's Leadership Charter High School","60616",-87.61868763,41.84456472,67.4,93.2,-87.62162951,41.8469285866667,3,66.7666666666667,91.2333333333333
"George Washington High School","60617",-87.5375501,41.6881094,42,85.2,-87.5561822066667,41.7196907333333,3,43.7,83.2666666666667
"Bowen High School","60617",-87.55775263,41.73376107,45.2,80.8,-87.5561822066667,41.7196907333333,3,43.7,83.2666666666667
"Chicago Vocational Career Academy High School","60617",-87.57324389,41.73720173,43.9,83.8,-87.5561822066667,41.7196907333333,3,43.7,83.2666666666667
"Albert G Lane Technical High School","60618",-87.69105603,41.94661693,81.5,94.4,-87.7028931433333,41.94180836,3,69.1666666666667,95.7
"DeVry University Advantage Academy HS","60618",-87.6907993,41.94142629,73.1,96.6,-87.7028931433333,41.94180836,3,69.1666666666667,95.7
"ASPIRA Charter - Early College","60618",-87.7268241,41.93738186,52.9,96.1,-87.7028931433333,41.94180836,3,69.1666666666667,95.7
"Noble Street Charter - Gary Comer College Prep","60619",-87.60454374,41.76529142,95,94.8,-87.60315413,41.75952631,2,70.85,80.25
"Emil G Hirsch Metropolitan High School","60619",-87.60176452,41.7537612,46.7,65.7,-87.60315413,41.75952631,2,70.85,80.25
"Neal F Simeon Career Academy High School","60620",-87.63537,41.74579217,67,83.6,-87.652213315,41.7465052975,4,69.2,93.8
"Chicago Intl Charter - Ralph Ellison","60620",-87.66897348,41.74835504,65.5,94.4,-87.652213315,41.7465052975,4,69.2,93.8
"Perspectives Charter - Calumet Technology","60620",-87.65225489,41.74593699,67,99,-87.652213315,41.7465052975,4,69.2,93.8
"Perspectives Charter Leadership Academy HS","60620",-87.65225489,41.74593699,77.3,98.2,-87.652213315,41.7465052975,4,69.2,93.8
"Hope College Preparatory High School","60621",-87.64134488,41.79355292,73.6,80,-87.6370861375,41.7815679325,4,65.05,84
"Urban Prep Acad for Young Men Charter - Englewood","60621",-87.63494163,41.7814927,80,94.3,-87.6370861375,41.7815679325,4,65.05,84
"Paul Robeson High School","60621",-87.63711641,41.76973341,53,76,-87.6370861375,41.7815679325,4,65.05,84
"TEAM Englewood Community Academy High School","60621",-87.63494163,41.7814927,53.6,85.7,-87.6370861375,41.7815679325,4,65.05,84
"Wells Community Academy High School","60622",-87.66751989,41.89900506,43.3,80.3,-87.677194615,41.90081412,2,41.85,80.75
"Roberto Clemente Community Academy High School","60622",-87.68686934,41.90262318,40.4,81.2,-87.677194615,41.90081412,2,41.85,80.75
"Spry Community Links High School","60623",-87.69912725,41.84815451,54.4,91.4,-87.71740177,41.8475152355556,9,54.1222222222222,90.5555555555556
"North Lawndale College Prep Charter - Collins","60623",-87.70200761,41.86416169,68.2,93.7,-87.71740177,41.8475152355556,9,54.1222222222222,90.5555555555556
"Multicultural Academy of Scholarship","60623",-87.73419465,41.83601953,45.3,91,-87.71740177,41.8475152355556,9,54.1222222222222,90.5555555555556
"World Language Academy High School","60623",-87.73419465,41.83601953,51.3,93.5,-87.71740177,41.8475152355556,9,54.1222222222222,90.5555555555556
"Collins Academy High School","60623",-87.70200761,41.86416169,58.8,78.6,-87.71740177,41.8475152355556,9,54.1222222222222,90.5555555555556
"North Lawndale College Prep Charter - Christiana","60623",-87.70802532,41.85850181,63.8,97.4,-87.71740177,41.8475152355556,9,54.1222222222222,90.5555555555556
"Infinity Math Science and Technology High School","60623",-87.73419465,41.83601953,53,93.6,-87.71740177,41.8475152355556,9,54.1222222222222,90.5555555555556
"Greater Lawndale High School For Social Justice","60623",-87.73419465,41.83601953,54.2,91.9,-87.71740177,41.8475152355556,9,54.1222222222222,90.5555555555556
"David G Farragut Career Academy High School","60623",-87.70866954,41.8485793,38.1,83.9,-87.71740177,41.8475152355556,9,54.1222222222222,90.5555555555556
"John Marshall Metropolitan High School","60624",-87.70801612,41.87847194,46.5,75.1,-87.715026545,41.8821045475,4,53.75,79.75
"Henry Ford Academy Power House Charter HS","60624",-87.71048996,41.86931497,62.3,89.1,-87.715026545,41.8821045475,4,53.75,79.75
"Al Raby High School","60624",-87.71539705,41.886183,52.5,82,-87.715026545,41.8821045475,4,53.75,79.75
"Orr Academy High School","60624",-87.72620305,41.89444828,53.7,72.8,-87.715026545,41.8821045475,4,53.75,79.75
"Friedrich W von Steuben Metropolitan Science HS","60625",-87.71334969,41.9731926,75.4,92,-87.7040933775,41.97361975,4,65.05,90.275
"Theodore Roosevelt High School","60625",-87.71483051,41.96485522,47.5,85.7,-87.7040933775,41.97361975,4,65.05,90.275
"Roald Amundsen High School","60625",-87.67952139,41.97507922,48.6,88.5,-87.7040933775,41.97361975,4,65.05,90.275
"Northside College Preparatory High School","60625",-87.70867192,41.98135196,88.7,94.9,-87.7040933775,41.97361975,4,65.05,90.275
"Chicago Math and Science Academy High School","60626",-87.67485599,42.01303498,56.5,96,-87.67200566,42.00786096,2,51.6,88.1
"Roger C Sullivan High School","60626",-87.66915533,42.00268694,46.7,80.2,-87.67200566,42.00786096,2,51.6,88.1
"George Washington Carver Military Academy HS","60627",-87.5906566,41.65627709,46.7,92.2,-87.5906566,41.65627709,1,46.7,92.2
"Gwendolyn Brooks College Preparatory Academy HS","60628",-87.61638144,41.69278956,80.1,88.9,-87.61943222,41.70213003,4,52.875,79.6
"Christian Fenger Academy High School","60628",-87.63760833,41.68993885,38.3,80.3,-87.61943222,41.70213003,4,52.875,79.6
"John M Harlan Community Academy High School","60628",-87.62066069,41.71840075,54.4,71.1,-87.61943222,41.70213003,4,52.875,79.6
"George H Corliss High School","60628",-87.60307842,41.70739096,38.7,78.1,-87.61943222,41.70213003,4,52.875,79.6
