"date","count"
"Jan-2000",8
"Feb-2000",5
"Mar-2000",5
"Apr-2000",1
"May-2000",4
"Jun-2000",3
"Jul-2000",2
"Aug-2000",1
"Sep-2000",6
"Oct-2000",1
"Nov-2000",2
"Dec-2000",3
"Jan-2001",15
"Feb-2001",1
"Mar-2001",4
"Apr-2001",1
"May-2001",4
"Jun-2001",1
"Jul-2001",1
"Aug-2001",2
"Sep-2001",2
"Oct-2001",2
"Nov-2001",2
"Jan-2002",8
"Feb-2002",5
"Apr-2002",2
"May-2002",3
"Jul-2002",1
"Aug-2002",2
"Sep-2002",4
"Oct-2002",1
"Nov-2002",3
"Dec-2002",5
"Jan-2003",10
"Feb-2003",1
"Mar-2003",2
"Apr-2003",3
"May-2003",4
"Jun-2003",5
"Jul-2003",2
"Aug-2003",1
"Sep-2003",3
"Oct-2003",1
"Dec-2003",7
"Jan-2004",26
"Feb-2004",2
"Mar-2004",9
"Apr-2004",6
"May-2004",2
"Jun-2004",7
"Jul-2004",10
"Aug-2004",4
"Sep-2004",7
"Oct-2004",5
"Nov-2004",7
"Dec-2004",9
"Jan-2005",61
"Feb-2005",21
"Mar-2005",37
"Apr-2005",22
"May-2005",29
"Jun-2005",30
"Jul-2005",25
"Aug-2005",27
"Sep-2005",33
"Oct-2005",36
"Nov-2005",30
"Dec-2005",24
"Jan-2006",102
"Feb-2006",22
"Mar-2006",45
"Apr-2006",36
"May-2006",34
"Jun-2006",45
"Jul-2006",30
"Aug-2006",35
"Sep-2006",36
"Oct-2006",53
"Nov-2006",31
"Dec-2006",43
"Jan-2007",164
"Feb-2007",44
"Mar-2007",58
"Apr-2007",45
"May-2007",75
"Jun-2007",100
"Jul-2007",70
"Aug-2007",83
"Sep-2007",63
"Oct-2007",67
"Nov-2007",61
"Dec-2007",68
"Jan-2008",204
"Feb-2008",68
"Mar-2008",71
"Apr-2008",69
"May-2008",67
"Jun-2008",83
"Jul-2008",64
"Aug-2008",62
"Sep-2008",60
"Oct-2008",60
"Nov-2008",40
"Dec-2008",42
"Jan-2009",128
"Feb-2009",47
"Mar-2009",40
"Apr-2009",46
"May-2009",62
"Jun-2009",66
"Jul-2009",45
"Aug-2009",51
"Sep-2009",61
"Oct-2009",59
"Nov-2009",60
"Dec-2009",72
"Jan-2010",170
"Feb-2010",54
"Mar-2010",77
"Apr-2010",61
"May-2010",59
"Jun-2010",79
"Jul-2010",61
"Aug-2010",95
"Sep-2010",84
"Oct-2010",78
"Nov-2010",92
"Dec-2010",72
"Jan-2011",187
"Feb-2011",83
"Mar-2011",119
"Apr-2011",100
"May-2011",121
"Jun-2011",124
"Jul-2011",110
"Aug-2011",110
"Sep-2011",174
"Oct-2011",145
"Nov-2011",183
"Dec-2011",158
"Jan-2012",303
"Feb-2012",133
"Mar-2012",199
"Apr-2012",165
"May-2012",205
"Jun-2012",185
"Jul-2012",172
"Aug-2012",182
"Sep-2012",175
"Oct-2012",163
"Nov-2012",153
"Dec-2012",143
"Jan-2013",216
"Feb-2013",177
"Mar-2013",193
"Apr-2013",144
"May-2013",213
"Jun-2013",259
"Jul-2013",213
"Aug-2013",199
"Sep-2013",184
