"company_name","mth_yr","has_second","no_second"
"#NAME?","Aug-2012",0,1
"#waywire","Jun-2012",0,1
"1000memories","Jan-2010",1,0
"100Plus","Nov-2011",0,1
"10BestThings","Apr-2009",0,1
"121nexus","Feb-2012",1,0
"12Society","Apr-2012",0,1
"1366 Technologies","Mar-2008",0,1
"140 Proof","Jul-2009",0,1
"140Fire","May-2010",0,1
"15Five","Jan-2012",0,1
"169 ST.","Jun-2009",0,1
"170 Systems","Apr-2002",0,1
"1DayMakeover","Jun-2008",0,1
"1World Online","Jul-2013",0,1
"1stdibs","Oct-2012",0,1
"2080 Media","Mar-2012",0,1
"20JEANS","Apr-2013",1,0
"20x200","Oct-2009",1,0
"22nd Century Group","Feb-2013",1,0
"23andMe","May-2007",0,1
"24/7 Card","Oct-2010",1,0
"247 Techies","Nov-2012",0,1
"24M Technologies","Aug-2010",0,1
"24PageBooks","May-2011",0,1
"250ok","Sep-2012",0,1
"27 Perry","May-2012",0,1
"27 bards","Nov-2012",0,1
"2GO Mobile Solutions","Jan-2010",0,1
"2U","Jun-2009",1,0
"30 Second Showcase","May-2013",0,1
"33Across","Mar-2009",1,0
"360imaging","Jan-2005",1,0
"365Scores","Jan-2013",0,1
"37signals","Jul-2006",0,1
"3ClickEMR Corporation","Jun-2010",1,0
"3D Biomatrix","Feb-2013",1,0
"3D Robotics","Nov-2012",0,1
"3D Systems","Jun-2012",0,1
"3FLOZ","Aug-2013",0,1
"3Gear Systems","Mar-2012",0,1
"3Guppies","Apr-2006",0,1
"3Jam","Jul-2007",0,1
"3Pillar Global","Jun-2013",0,1
"3VR","Jan-2009",0,1
"3dCart Shopping Cart Software","Jan-2010",0,1
"4-Tell","Jul-2011",1,0
"40billion.com","Apr-2008",1,0
"410 Labs","Jul-2011",0,1
"42Floors","Dec-2011",1,0
"480 Biomedical","Feb-2012",0,1
"4Home","Aug-2006",0,1
"4s3 Bioscience","Mar-2012",0,1
"5 O'Clock Records","Jan-2013",0,1
"500Friends","Dec-2009",1,0
"5min Media","Apr-2007",1,0
"5o9","May-2013",0,1
"5th Finger","Jun-2008",0,1
"64 Pixels","Oct-2010",0,1
"6connect","Aug-2011",0,1
"6fusion","Aug-2010",0,1
