"company_name","mth_yr","company_category_code","status","rank1","rank2","inv1","inv2"
"ArcSight","Jan-2000","software","acquired",7.15953711639702,6.97772360528885,14439000,9500000
"Verimatrix","Jan-2000","software","operating",6.11394335230684,6.69897000433602,1300000,5000000
"ChoiceStream","Jan-2000","advertising","operating",7.17609125905568,6.84509804001426,15000000,7000000
"Gomez, Inc.","Jan-2000","consulting","acquired",6.84509804001426,7.45484486000851,7000000,28500000
"Elance","Feb-2000","web","operating",7.07918124604763,7.69897000433602,12000000,50000000
"Navic Networks","Feb-2000","advertising","acquired",6.30102999566398,7.30102999566398,2000000,20000000
"Cafe Press","Mar-2000","web","ipo",6.07918124604763,5.47712125471966,1200000,300000
"Pandora Media","Mar-2000","music","ipo",6.17609125905568,6.89209460269048,1500000,7800000
"AirClic","Mar-2000","mobile","operating",7.17609125905568,7.09691001300806,15000000,12500000
"Masterseek","May-2000","search","operating",6.30102999566398,7.07918124604763,2000000,12000000
"Action Engine","May-2000","mobile","acquired",6.88649072517248,6.69897000433602,7700000,5000000
"Nominum","May-2000","network_hosting","operating",6.69897000433602,7,5000000,10000000
"eHarmony","Jun-2000","web","operating",6.47712125471966,8.04139268515823,3000000,110000000
"WeatherBug","Jun-2000","web","operating",7.17609125905568,7.36172783601759,15000000,23000000
"Vivisimo","Jun-2000","software","acquired",5,5,100000,100000
"WANTED Technologies","Jun-2000","other","operating",6.30881808694936,6.35218251811136,2036189,2250000
"Vibrant Media","Jul-2000","advertising","operating",6.30102999566398,7.17609125905568,2000000,15000000
"Sierra Monolithics","Aug-2000","public_relations","acquired",7.15228834438306,7.04139268515823,14200000,11000000
"comScore","Sep-2000","web","ipo",7.48572142648158,7.17609125905568,30600000,15000000
"DivX","Sep-2000","software","acquired",6.69897000433602,6.77815125038364,5000000,6000000
"PerfectServe","Sep-2000","medical","operating",6,7.03742649794062,1000000,10900000
"Compete","Nov-2000","consulting","acquired",6.77815125038364,7.11394335230684,6000000,13000000
"OQO","Dec-2000","mobile","operating",5.90308998699194,6.76342799356294,800000,5800000
"Seamless North America","Dec-2000","hospitality","operating",6,7.69897000433602,1000000,50000000
