place,visited,lat,lon,image,image_text
Philadelphia,1,39.9526,-75.1652,,
Monterey,1,36.6002,-121.8947,monterrey,Carmel Beach
Los Angeles,1,34.0522,-118.2437,losangeles,Disneyland
Saint Louis,1,38.627,-90.1994,saintlouis,The Arch
New York City,1,40.7128,-74.0059,newyorkcity,City Night Light
Portland,1,45.5231,-122.6765,,
Seattle,1,47.6062,-122.3321,,
Indianapolis,1,39.7684,-86.1581,indianapolis,Zoo during Halloween
Milwaukee,1,43.0389,-87.9065,,
Pittsburgh,1,40.4406,-79.9959,,
Nashville,1,36.1627,-86.7816,nashville,Music City
New Orleans,1,29.9511,-90.0715,neworleans,Cafe Du Monde
Atlantic City,1,39.3643,-74.4229,atlanticcity,Boardwalk
Cleveland,1,41.4993,-81.6944,,
Washington D.C.,1,38.9072,-77.0369,washingtondc,Cherry Blossom
Orlando,1,28.5383,-81.3792,,
Houston,1,29.7604,-95.3698,,
Upper Peninsula,1,46.5375,-87.3952,,
Mackinac Island,1,45.8492,-84.6189,,
Cincinnati,1,39.1031,-84.512,,
Louisville,1,38.2527,-85.7585,,
The Skyline Drive,1,38.5306,-78.4404,theskylinedrive,Blue Ridge Parkway
Starved Rock,1,41.3184,-88.9947,starvedrock,stream
Las Vegas,1,36.1699,-115.1398,lasvegas,The Venetian
Chapel Hill,1,35.9132,-79.0558,,
Charlotte,1,35.2271,-80.8431,charlotte,City View from Train Station
Mammoth Cave,1,37.187,-86.1005,mammothcave,Rock Formation
Plano,1,33.0198,-96.6989,plano,Capital One's Slide
San Jose,1,37.3382,-121.8863,sanjose,Strata Conference
Ashville,1,35.5951,-82.5515,ashville,Court at the Biltmore
Baltimore,1,39.2904,-76.6122,baltimore,National Aquarium
Richmond,1,37.5407,-77.436,,
Williamsburg,1,37.2707,-76.7075,,
Myrtle Beach,1,33.6891,-78.8867,myrtlebeach,Beach
Charleston,1,32.7765,-79.9311,charleston,Rainbow Row
Minneapolis,1,44.9778,-93.265,minneapolis,Mill Ruins Park
St. Paul,1,44.9537,-93.09,stpaul,CHS Field
Apostle Islands,1,47.0027,-90.6908,apostleislands,Sea Caves
Denver,1,39.7392,-104.9903,,
San Diego,1,32.7157,-117.1611,,
